cmtid,ctime,author_username,comment,rating_star
"5983084336","1631607893","sudemistore","Kemasan:rapi dan bagus. Ketahanan:first inpression sich kayanya wanginya tahan lama. Wangi:wangi kaya aku kenal ya. . Paket diterima dlm keadaan sesuai foto, terus langsung aku buka dan semprotkan, ternyata wanginya kaya aku kenal, wanginya kaya handbody scarlett yg charming ...","4"
"6573733099","1636795482","g*****a","Kemasan:elegan. Ketahanan:ekspektasi 8 jam . Wangi:woody nya kerasa. . paket sampai dengan selamat~ pengemasan aman bubble wrap tebal & tidak tumpah, kemasan baru nya elegan, wanginya unik, woody tapi ada hint baccarat nya gitu kalo dari jauh, tp lebih kerasa woody nya sih, next mau nyoba varian lain, thanks seller✨💗","4"
"9407495463","1661740773","p*****0","Tekstur:wangi. Performa:mantap. Cocok Untuk:di segala macam aktivitas. . Baru pertamakali nyobain parfum onix gara2 ngeliat member jkt48 pake varian ini. Wangi banget, soft dan kalem. Packing super aman, bubblewrap tebal. Terimakasih banyak 🥰🙏🏻","5"
"7432404364","1644320050","r*****n","Wangi:segar. Ketahanan:6-7 jam. Kemasan:unik. . Ini yg ke 2x nya order senoparty. Mau yg fwb tapi habiiiis 😩. Cinta bgttttt sama wanginya senoparty& fwb. Terbaiiiik 👍🏻🖤","5"
"7678224801","1646610158","p*****_","Wangi:ternyata bukan wangi yg aku expect bakal suka. Ketahanan:di aku gak tahan lama (sperti klaimnya). Kemasan:nice. . Sebenernya mau beli parfume ini tu ragu bgt sumpah, Krn review nya yg segitu hype nya jd bikin expectasi aku terlalu tinggi sama si onix, terutama varian senoparty. Aku kira ini adalah wangi yg aku cari dan suka, ternyata prtma sniff loh kok gini wangi nya. Which is not bad, cuma not my style.","5"
"4160332749","1614322759","","Kemasan:rapih. Ketahanan:up to 8+ hours. Wangi:Unisex (maskulin + feminine). . Setelah pesan bundling Mexicola + FWB dan kali ini senoparty, menurutku the best of all adalah si Mexicola. Senoparty wanginya mirip parfum sejuta umat yang lagi booming tapi tetep ada yang membedakan, Maskulin scent. Dia seimbang wangi maskulin & feminine nya nya imho. Keep a great work!","5"
"6372639305","1634932081","tiarafazreen","Kemasan:good. Ketahanan:4-5 jam. Wangi:floral & a little bit herbal. . ini parfume lokal bagus bgt dan worth the price, i really love it! But unfortunately.. This is not the fragrance I was looking for and not my type, so i will preloved this (with new condition and not usef at all). if u get interested pls check my shopee","5"
"6869562250","1639245603","crfifi29","Kemasan:elegan dan menarik 😍. Ketahanan:ruangan berAC 5-6 jam 😁. Wangi:seperti permen karet yg mau dimakan (kata temen ku) manis 🤭. . pembelian ke 2 setelah varian FWB yg dibeli pertama kali (segar karena wangi citrus) dan teman2 ku suka serta penasaran dengan brand nya 😉. . hari ini order varian selanjutnya, yaitu mexicola 🤭. . thanks a lot onix yg membuat ku pede 😊🙏🏻❤️. very recommended ! 😁","5"
"4578181831","1618821900","fyudistira","Kemasan:Boks menambah kesan premium. . Ketahanan:Tahan lama. . Wangi:Manis ala2 baccarat, bukan wangi baru yg ngasih kita kejutan. Tapi suka . . Barang diterima dengan baik, packing rapi super aman dengan bublewrap berlapis, kecepatan pengiriman juga baik. Gak sabar nyoba serie lain lnya juga, tapi susah dapetnya karna limited stock tiap rilis 😂","5"
"7663600333","1646475491","gaulrahma12","Wangi:keknya lebih cocok buat laki"" sih wanginya. Ketahanan:belum tau. Kemasan:bagus","5"
